fn,un,tr,t,fny,uny,ty,unc,fnc,tc,fntc
6.787327363,3.19E-05,0.003500179,0,0.006787327,3.19E+01,0.00E+00,36.32187679,0.259134628,3.58912861,0.622119393
180.7916236,6.01E-05,0.003501593,1.41E-06,0.180791624,6.01E+01,1.41E+00,44.44262161,0.335444212,4.815754269,0.904053258
468.1570832,8.81E-05,0.003503007,2.83E-06,0.468157083,8.81E+01,2.83E+00,52.56336642,0.410164013,5.93175161,1.276926771
831.5955465,0.000115816,0.003504421,4.24E-06,0.831595547,1.16E+02,4.24E+00,60.43802805,0.497425435,7.047579495,1.627432064
1253.438383,0.000143053,0.003505835,5.66E-06,1.253438383,1.43E+02,5.66E+00,68.80485604,0.57868101,8.21940213,2.022305608
1720.670636,0.000169633,0.00350725,7.07E-06,1.720670636,1.70E+02,7.07E+00,76.92560085,0.688376037,9.224226782,2.414261705
2221.868332,0.000195365,0.003508664,8.49E-06,2.221868332,1.95E+02,8.49E+00,85.04634566,0.799660846,10.17296373,2.749579832
2746.129536,0.000220047,0.003510078,9.90E-06,2.746129536,2.20E+02,9.90E+00,93.16709048,0.912535439,11.33553603,3.14789916
3282.658361,0.000243476,0.003511492,1.13E-05,3.282658361,2.43E+02,1.13E+01,101.6979739,1.057029049,12.29419061,3.56785457
3820.636253,0.000265445,0.003512906,1.27E-05,3.820636253,2.65E+02,1.27E+01,109.4085801,1.15736202,13.24297414,3.909320528
4349.245597,0.000285753,0.003514321,1.41E-05,4.349245597,2.86E+02,1.41E+01,117.5293249,1.287724226,14.35926181,4.320518607
4857.784015,0.000304205,0.003515735,1.56E-05,4.857784015,3.04E+02,1.56E+01,125.6500697,1.424445563,15.53140079,4.757149405
5335.835389,0.000320619,0.003517149,1.70E-05,5.335835389,3.21E+02,1.70E+01,133.8528423,1.581657437,16.75902969,5.171511514
5773.475196,0.000334828,0.003518563,1.84E-05,5.773475196,3.35E+02,1.84E+01,141.8915593,1.697888238,17.76315804,5.471555479
6161.493009,0.000346684,0.003519978,1.98E-05,6.161493009,3.47E+02,1.98E+01,150.0123042,1.850507406,18.76752552,5.803164902
6491.617667,0.00035606,0.003521392,2.12E-05,6.491617667,3.56E+02,2.12E+01,158.133049,2.006306139,19.99435913,6.112548292
6756.732278,0.000362855,0.003522806,2.26E-05,6.756732278,3.63E+02,2.26E+01,166.8279879,2.184008549,21.22123362,6.427327295
6951.067642,0.000366994,0.00352422,2.40E-05,6.951067642,3.67E+02,2.40E+01,174.3745386,2.324792666,22.44736321,6.643780421
7070.364175,0.000368434,0.003525634,2.55E-05,7.070364175,3.68E+02,2.55E+01,182.4952834,2.486420604,23.67360194,6.87463931
7111.99419,0.000367156,0.003527049,2.69E-05,7.11199419,3.67E+02,2.69E+01,190.3391846,2.664675022,24.89906085,7.00256248
7075.038419,0.000363176,0.003528463,2.83E-05,7.075038419,3.63E+02,2.83E+01,198.736773,2.823454598,26.12407568,7.071867292
6960.312974,0.000356538,0.003529877,2.97E-05,6.960312974,3.57E+02,2.97E+01,206.8575178,2.996740945,27.34884407,7.108641275
6770.345405,0.000347313,0.003531291,3.11E-05,6.770345405,3.47E+02,3.11E+01,214.9782627,3.179565989,28.12788825,7.085330132
6509.301052,0.000335602,0.003532705,3.25E-05,6.509301052,3.36E+02,3.25E+01,224.5755065,3.386237779,31.35382259,6.786214122
6182.863337,0.00032153,0.00353412,3.39E-05,6.182863337,3.22E+02,3.39E+01,232.6962513,3.570652606,32.57668925,6.571961148
5798.073997,0.000305242,0.003535534,3.54E-05,5.798073997,3.05E+02,3.54E+01,240.2428021,3.759836782,33.79899318,6.283426825
5363.141275,0.000286906,0.003536948,3.68E-05,5.363141275,2.87E+02,3.68E+01,248.937741,3.958559657,35.02123401,5.986563353
4887.225894,0.000266704,0.003538362,3.82E-05,4.887225894,2.67E+02,3.82E+01,257.0584858,4.144564267,36.02100497,5.711432001
4380.216151,0.000244828,0.003539777,3.96E-05,4.380216151,2.45E+02,3.96E+01,265.0972029,4.362187895,37.02041689,5.388907563
3852.50487,0.00022148,0.003541191,4.10E-05,3.85250487,2.21E+02,4.10E+01,273.2999754,4.547309292,38.18634072,5.005138055
3314.782594,0.000196867,0.003542605,4.24E-05,3.314782594,1.97E+02,4.24E+01,281.0515954,4.754881959,39.29656401,4.615836735
2777.863968,0.000171192,0.003544019,4.38E-05,2.777863968,1.71E+02,4.38E+01,290.2797145,4.99032882,40.24020954,4.279087635
2252.569264,0.000144657,0.003545433,4.53E-05,2.252569264,1.45E+02,4.53E+01,298.4004594,5.201769958,41.12784658,3.896156281
1749.694052,0.000117454,0.003546848,4.67E-05,1.749694052,1.17E+02,4.67E+01,308.7359528,5.467263719,42.23827131,3.533445378
1280.126156,8.98E-05,0.003548262,4.81E-05,1.280126156,8.98E+01,4.81E+01,315.7493233,5.655056835,43.1817025,3.168403361
855.2380194,6.17E-05,0.003549676,4.95E-05,0.855238019,6.17E+01,4.95E+01,324.9774424,5.894385416,44.18070807,2.792240096
487.8966113,3.35E-05,0.00355109,5.09E-05,0.487896611,3.35E+01,5.09E+01,332.8872588,6.110671608,45.29082266,2.388590636
195.3167534,5.26E-06,0.003552504,5.23E-05,0.195316753,5.26E+00,5.23E+01,340.1642898,6.335512345,46.23442852,2.046606071
,,,,,,,348.970552,6.577091227,47.23348685,1.677406963
,,,,,,,359.0599623,6.884290294,48.39932118,1.28182473
,,,,,,,363.3664178,7.047508015,49.56572222,0.961047692
,,,,,,,,,50.78747532,0.599803558
,,,,,,,,,51.89905489,0.389531813
