Vt,VtuVn_b,rwuVn1,VtuVn_a1,rwuVn2,VtuVn_a2,,VtuVn_c1,VstuVcn_c1,VtuVn_1,rwuVn_c1,,VtuVn_c2,VstuVcn_c2,VtuVn_2,rwuVn_c2,,VtuVn_a1,VstuVcn_a
,,,,,,,10.77970764,3.774094729,15.39779203,-4.990703139,,11.4086487,4.449668311,13.64836389,-4.943379736,,,
,,,,,,,11.04925381,4.079491006,15.79875461,-4.990979031,,11.69103041,4.741440007,14.04922513,-4.9642677,,,
,,,,,,,11.33163551,4.324133647,16.19971718,-4.991254923,,11.97341211,5.011360959,14.45018771,-4.964543592,,,
,,,,,,,11.61401722,4.651466356,16.60067976,-4.991530814,,12.24552539,5.32406836,14.85115028,-4.964819483,,,
,,,,,,,11.89639892,4.904677916,17.00164234,-4.991806706,,12.49710182,5.544968973,15.25211286,-4.965095375,,,
,,,,,,,12.14027403,5.183724766,17.40260491,-4.992082598,,12.7692151,5.819495719,15.65307544,-4.965371267,,,
,,,,,,,12.38414914,5.446682451,17.80356749,-4.992358489,,13.00738552,6.045558087,16.05403801,-4.965647158,,,
,,,,,,,12.61518871,5.604452574,18.20453007,-4.992634381,,,,16.45500059,-4.96592305,,,
,,,,,,,13.02592574,6.012639156,18.60549645,-4.99213732,,,,16.85596317,-4.966198942,,,
,,,,,,,,,19.00646282,-4.991640259,,,,17.25692575,-4.966474833,,,
,,,,,,,,,19.4074178,-4.993462056,,,,17.65788832,-4.966750725,,,
,,,,,,,,,,,,,,18.0588509,-4.967026617,,,
,,,,,,,,,,,,,,18.45980968,-4.968075461,,,
,,,,,,,,,,,,,,19.26173863,-4.967854292,,,
,,,,,,,,,,,,,,19.66268221,-4.971994947,,,
