fn,un,tr,t,fny,uny,try,ty,unc,fnc,tc,fntc
48557.11242,0.000236596,0.104532101,0.000559625,4.855711242,2.37E+01,559.6252254,584.6252254,,,482.466997,9.08256711
41731.27596,0.000210657,0.104546828,0.000574352,4.173127596,2.11E+01,574.352205,599.352205,,,496.6868785,8.621656646
35060.10066,0.000184049,0.104561555,0.000589079,3.506010066,1.84E+01,589.0791846,614.0791846,,,504.4204983,8.278266319
28631.84933,0.000156895,0.104576282,0.000603806,2.863184933,1.57E+01,603.8061642,628.8061642,,,523.5228955,7.516535694
22535.42727,0.000129314,0.104591009,0.000618533,2.253542727,1.29E+01,618.5331438,643.5331438,,,534.1076193,7.039712439
16862.34899,0.000101413,0.104605736,0.00063326,1.686234899,1.01E+01,633.2601234,658.2601234,,,542.527286,6.689710747
11710.8898,7.33E-05,0.104620463,0.000647987,1.17108898,7.33E+00,647.987103,672.987103,,,554.3148193,6.166149459
7194.953794,4.50E-05,0.10463519,0.000662714,0.719495379,4.50E+00,662.7140827,687.7140827,,,563.0819643,5.855679321
3465.635736,1.67E-05,0.104649917,0.000677441,0.346563574,1.67E+00,677.4410623,702.4410623,,,570.0315304,5.493245295
,,,,,,,,,,579.760923,5.025600099
,,,,,,,,,,590.9871453,4.552738811
,,,,,,,,,,600.2175947,4.073063613
,,,,,,,,,,611.9427601,3.612232327
,,,,,,,,,,641.8217824,2.235240162
,,,,,,,,,,657.0347528,1.823013535
,,,,,,,,,,662.0865528,1.649373594
,,,,,,,,,,670.075188,1.331644405
,,,,,,,,,,684.5112782,0.87937019
,,,,,,,,,,702.556391,0.455203892
,,,,,,,,,,718.1954887,0.144063689
