fn,un,tr,t,fny,uny,try,ty,unc,fnc,tc,fntc
75782.41157,0.000497695,0.100370272,0.000371231,7.578241157,4.98E+01,371.231,396.231,,,576.7672638,4.035849921
75448.62984,0.000495105,0.100380879,0.000381838,7.544862984,4.95E+01,381.838,406.838,,,593.5531389,3.74065119
74860.38288,0.0004914,0.100391485,0.000392444,7.486038288,4.91E+01,392.444,417.444,,,620.9677623,2.979753958
74021.65611,0.000486592,0.100402092,0.000403051,7.402165611,4.87E+01,403.051,428.051,,,632.898375,2.615320312
72938.12001,0.000480699,0.100412698,0.000413657,7.293812001,4.81E+01,413.657,438.657,,,642.2535602,2.220834531
71617.0794,0.00047374,0.100423305,0.000424264,7.16170794,4.74E+01,424.264,449.264,,,657.0347528,1.826254832
70067.40858,0.000465737,0.100433912,0.000434871,7.006740858,4.66E+01,434.871,459.871,,,668.6351824,1.492577388
68299.47343,0.000456717,0.100444518,0.000445477,6.829947343,4.57E+01,445.477,470.477,,,683.0421676,1.208806205
66325.04156,0.00044671,0.100455125,0.000456084,6.632504156,4.47E+01,456.084,481.084,,,699.5072936,0.900026261
64157.18195,0.000435748,0.100465731,0.00046669,6.415718195,4.36E+01,466.69,491.69,,,715.9724195,0.583794187
61810.15569,0.000423866,0.100476338,0.000477297,6.181015569,4.24E+01,477.297,502.297,,,732.4375455,0.31600096
59299.29937,0.000411101,0.100486945,0.000487904,5.929929937,4.11E+01,487.904,512.904,,,748.9026714,0.044801045
56640.90318,0.000397494,0.100497551,0.00049851,5.664090318,3.97E+01,498.51,523.51,,,765.3677974,-0.050102757
53852.08558,0.000383085,0.100508158,0.000509117,5.385208558,3.83E+01,509.117,534.117,,,,
50950.66665,0.000367919,0.100518764,0.000519723,5.095066665,3.68E+01,519.723,544.723,,,,
47955.0425,0.000352039,0.100529371,0.00053033,4.79550425,3.52E+01,530.33,555.33,,,,
44884.06289,0.000335491,0.100539978,0.000540937,4.488406289,3.35E+01,540.937,565.937,,,,
41756.91488,0.000318323,0.100550584,0.000551543,4.175691488,3.18E+01,551.543,576.543,,,,
38593.01514,0.000300581,0.100561191,0.00056215,3.859301514,3.01E+01,562.15,587.15,,,,
35411.91413,0.000282313,0.100571797,0.000572756,3.541191413,2.82E+01,572.756,597.756,,,,
32233.21584,0.000263567,0.100582404,0.000583363,3.223321584,2.64E+01,583.363,608.363,,,,
29076.51751,0.000244388,0.100593011,0.00059397,2.907651751,2.44E+01,593.97,618.97,,,,
25961.37504,0.000224825,0.100603617,0.000604576,2.596137504,2.25E+01,604.576,629.576,,,,
22907.30188,0.000204922,0.100614224,0.000615183,2.290730188,2.05E+01,615.183,640.183,,,,
19933.81218,0.000184724,0.10062483,0.00062579,1.993381218,1.85E+01,625.79,650.79,,,,
17060.52484,0.000164274,0.100635437,0.000636396,1.706052484,1.64E+01,636.396,661.396,,,,
14307.35437,0.000143612,0.100646044,0.000647003,1.430735437,1.44E+01,647.003,672.003,,,,
11694.83222,0.000122778,0.10065665,0.000657609,1.169483222,1.23E+01,657.609,682.609,,,,
9244.636862,0.000101809,0.100667257,0.000668216,0.924463686,1.02E+01,668.216,693.216,,,,
6980.483006,8.07E-05,0.100677864,0.000678823,0.698048301,8.07E+00,678.823,703.823,,,,
4929.691021,5.96E-05,0.10068847,0.000689429,0.492969102,5.96E+00,689.429,714.429,,,,
3126.216673,3.84E-05,0.100699077,0.000700036,0.312621667,3.84E+00,700.036,725.036,,,,
1617.46008,1.72E-05,0.100709683,0.000710642,0.161746008,1.72E+00,710.642,735.642,,,,
