fn,un,tr,t,fny,uny,try,ty,unc,fnc,tc,fntc
174.0298789,2.99E-05,0.099999041,0,0.017402988,2.99E+00,0,25,1.12462162,0.057738831,10.96566301,0.033824761
1111.062576,5.11E-05,0.100009648,1.06E-05,0.111106258,5.11E+00,10.6066,35.6066,2.288235596,0.124799742,60.36104085,0.804641093
2482.168813,7.23E-05,0.100020254,2.12E-05,0.248216881,7.23E+00,21.2132,46.2132,5.003334873,0.232503629,71.67042029,1.097931285
4174.272102,9.34E-05,0.100030861,3.18E-05,0.41742721,9.34E+00,31.8198,56.8198,10.32271305,0.656299026,87.30397422,1.368228967
6130.464732,0.000114381,0.100041467,4.24E-05,0.613046473,1.14E+01,42.4264,67.4264,11.32009645,0.754475566,102.2722705,1.730193589
8312.589937,0.000135273,0.100052074,5.30E-05,0.831258994,1.35E+01,53.033,78.033,12.98240213,0.922325779,117.2405669,2.089230589
10691.15937,0.000156009,0.100062681,6.36E-05,1.069115937,1.56E+01,63.6396,88.6396,14.2014263,1.052172171,133.7056928,2.514804867
13241.25661,0.000176548,0.100073287,7.42E-05,1.324125661,1.77E+01,74.2462,99.2462,15.42045046,1.188352532,147.9255743,2.939154267
15940.52126,0.000196853,0.100083894,8.49E-05,1.594052126,1.97E+01,84.8528,109.8528,16.36242368,1.303155744,161.397041,3.295556006
18768.04102,0.000216879,0.1000945,9.55E-05,1.876804102,2.17E+01,95.4594,120.4594,17.85849879,1.478131674,177.1137521,3.732707501
21703.70193,0.000236584,0.100105107,0.000106066,2.170370193,2.37E+01,106.066,131.066,19.07752296,1.625396484,191.3336336,4.12770083
24727.7955,0.000255923,0.100115714,0.000116673,2.47277955,2.56E+01,116.673,141.673,20.29654712,1.771077801,205.5535151,4.484901211
27820.78219,0.000274848,0.10012632,0.000127279,2.782078219,2.75E+01,127.279,152.279,21.29393053,1.909067869,221.2702263,4.881268261
30963.15645,0.000293314,0.100136927,0.000137886,3.096315645,2.93E+01,137.886,162.886,22.84541583,2.116279183,236.9869374,5.280637456
34135.38144,0.000311272,0.100147533,0.000148492,3.413538144,3.11E+01,148.492,173.492,24.06444,2.282545904,251.2068189,5.583543744
37317.87404,0.000328676,0.10015814,0.000159099,3.731787404,3.29E+01,159.099,184.099,25.11723359,2.435352938,265.4267004,5.902578572
40491.02703,0.000345478,0.100168747,0.000169706,4.049102703,3.45E+01,169.706,194.706,26.94576984,2.69742096,281.8918263,6.217009648
43635.25983,0.000361631,0.100179353,0.000180312,4.363525983,3.62E+01,180.312,205.312,28.16479401,2.885856577,298.3569523,6.535326479
46731.09139,0.00037709,0.10018996,0.000190919,4.673109139,3.77E+01,190.919,215.919,29.16217742,3.036288372,314.2233464,6.759980515
49759.23019,0.000391808,0.100200566,0.000201525,4.975923019,3.92E+01,201.525,226.525,30.93530347,3.329234499,328.8922768,6.916383363
52700.6776,0.000405742,0.100211173,0.000212132,5.27006776,4.06E+01,212.132,237.132,32.26514802,3.531921549,344.7586709,7.046342114
55536.84111,0.000418849,0.10022178,0.000222739,5.553684111,4.19E+01,222.739,247.739,33.26253142,3.700676615,361.2237968,7.17548129
58249.6546,0.00043109,0.100232386,0.000233345,5.82496546,4.31E+01,233.345,258.345,34.81401673,3.959464545,377.6889228,7.179690823
60821.70296,0.000442425,0.100242993,0.000243952,6.082170296,4.42E+01,243.952,268.952,36.03304089,4.170069058,394.1540487,7.200401503
63236.34855,0.00045282,0.100253599,0.000254558,6.323634855,4.53E+01,254.558,279.558,37.91698733,4.507352977,410.6191747,7.142332517
65477.85736,0.000462239,0.100264206,0.000265165,6.547785736,4.62E+01,265.165,290.165,39.0806013,4.710198376,427.0843006,7.012403703
67531.52252,0.000470653,0.100274813,0.000275772,6.753152252,4.71E+01,275.772,300.772,40.90913755,5.042573469,442.9506947,6.855327682
69383.78325,0.000478034,0.100285419,0.000286378,6.938378325,4.78E+01,286.378,311.378,42.12816172,5.262678937,457.6196251,6.644782305
71022.3373,0.000484358,0.100296026,0.000296985,7.10223373,4.84E+01,296.985,321.985,43.7904674,5.584127931,473.4860192,6.424709168
72436.24508,0.000489603,0.100306632,0.000307591,7.243624508,4.90E+01,307.591,332.591,45.07598379,5.830202677,489.9511451,6.103579979
73616.02386,0.000493752,0.100317239,0.000318198,7.361602386,4.94E+01,318.198,343.198,46.11769535,6.03225633,506.4162711,5.76105253
74553.73069,0.00049679,0.100327846,0.000328805,7.455373069,4.97E+01,328.805,353.805,47.87850803,6.380624698,521.7171962,5.488119388
75243.03256,0.000498709,0.100338452,0.000339411,7.524303256,4.99E+01,339.411,364.411,49.12831563,6.638997903,534.8560341,5.122998082
75679.26292,0.0004995,0.100349059,0.000350018,7.567926292,5.00E+01,350.018,375.018,50.8164794,6.979818289,550.5727452,4.696740425
75859.46362,0.000499162,0.100359665,0.000360624,7.585946362,4.99E+01,360.624,385.624,51.87214612,7.205741627,563.2957971,4.410680874
