theta_in_y,tan_out1,angVel_y1,tan_out2,angVel_y2,theta_in_c1,angVel_c1,theta_in_1,theta_out_c1,theta_in_c2,angVel_c2,theta_in_2,theta_out_c2,theta_in_a1,angVel_a,theta_in_a2,theta_out_a
,,,,,74.77479489,-183.6776955,73.12121501,69.28938549,58.11830245,-370.9006285,72.61983464,68.59816457,71.68084082,-219.7525208,76.5468097,73.56339648
,,,,,76.76679271,-159.9617382,74.95967422,71.88133486,61.8480005,-330.9280779,74.45834665,71.23713705,73.54568985,-198.1914393,78.30164098,75.98266967
,,,,,78.54687587,-138.1749451,76.79808063,74.42626112,63.71284953,-309.8919317,76.29675306,73.78206331,75.41053887,-175.2655257,81.85302072,80.82134512
,,,,,80.94857538,-108.4837131,78.63708979,77.50803453,65.57769855,-288.9607726,78.05187355,76.45891864,77.19062203,-154.0631607,83.87206075,83.24143567
,,,,,82.95470084,-83.03517544,80.47458724,79.24337961,67.44254758,-268.0296136,80.20708038,78.78209667,78.60338645,-138.2700096,,
,,,,,84.14142295,-68.38232916,82.31275432,81.57513445,69.30739661,-247.6233899,81.96191125,81.2010004,81.34414941,-103.751079,,
,,,,,,,84.15102497,83.99914415,70.91794804,-231.4008397,83.88620039,83.44981718,83.03946671,-82.26350972,,
,,,,,,,85.41549001,84.92112289,72.52849947,-208.7112728,85.36942405,84.23245998,84.31095468,-65.68413985,,
,,,,,,,,,74.3933485,-186.6252558,,,,,,
,,,,,,,,,76.25819752,-164.0143035,,,,,,
,,,,,,,,,78.12304655,-142.7261884,,,,,,
,,,,,,,,,79.98789557,-121.8820186,,,,,,
,,,,,,,,,81.8527446,-96.60139476,,,,,,
,,,,,,,,,83.66108305,-74.13909789,,,,,,
