w,VsVn,VstVcn1,VstVcn2,,VsVn_c1,VstVcn_c1,,VsVn_c2,VstVcn_c2
0.175,0.0875,0.056904,0.050923,,0.074523165,0.083165934,,0.104572901,-0.002434409
0.5,0.25,0.147112,0.127349,,0.23331667,0.145004309,,0.263208695,0.022800845
0.75,0.375,0.201406,0.168466,,0.382338752,0.099398507,,0.419599898,0.083165934
1,0.5,0.238934,0.207911,,0.577134483,0.10785834,,0.577237747,0.019180393
1.25,0.625,0.213352,0.202513,,0.732157728,0.05267618,,0.733779353,-0.049612911
1.5,0.75,0.176817,0.151898,,0.892452436,-0.056399842,,0.884861333,-0.160984749
1.75,0.875,0.09939,0.06109,,1.025522315,-0.109526859,,1.045445168,-0.231619307
2,1,-0.000909,0.00293,,1.193466869,-0.238193212,,1.207881826,-0.316354137
2.25,1.125,-0.094839,-0.104264,,1.34157076,-0.315348036,,1.365487899,-0.353052268
2.5,1.25,-0.134137,-0.159569,,1.651991,-0.373922719,,1.523088343,-0.384916208
2.75,1.375,-0.222611,-0.248063,,1.857139083,-0.235044036,,1.68063818,-0.373321513
3,1.5,-0.292686,-0.302891,,1.995422311,-0.0791598,,1.838080488,-0.269386419
3.5,1.75,-0.41621,-0.456232,,2.25282417,0.28929385,,1.995408809,-0.067565104
4,2,-0.539214,-0.579683,,2.388588057,0.55854844,,2.152802624,0.078012736
4.5,2.25,-0.620899,-0.660088,,2.681502726,1.182085385,,2.30997141,0.416835498
5,2.5,-0.646389,-0.687071,,3.010210743,1.819793624,,2.460006429,0.731438229
5.5,2.75,-0.576591,-0.637455,,3.167411032,2.131562097,,2.610048049,1.040372443
5.75,2.875,-0.367921,-0.441886,,3.324611322,2.443330569,,2.767299095,1.30855345
6,3,-0.151401,-0.225409,,3.481811611,2.755099042,,2.924448628,1.663909388
6.25,3.125,0.0651196,-0.008932,,3.617573435,3.026125043,,3.081648917,1.97567786
6.5,3.25,0.2816404,0.207544,,4.224907248,4.257256227,,3.238849207,2.287446333
6.75,3.375,0.498161,0.424021,,4.382107537,4.5690247,,3.396049496,2.599214805
7,3.5,0.714681,0.640498,,4.539307827,4.880793173,,3.553249786,2.910983278
7.5,3.75,1.1477235,1.073452,,4.696508116,5.192561645,,3.710475079,3.201280093
8,4,1.580765,1.506406,,5.282403464,6.382950358,,3.83905042,3.493355987
9,4.5,2.446848,2.372315,,5.439603753,6.694718831,,3.967653908,3.76126093
10,5,3.312931,3.238223,,5.561073954,6.937992715,,4.124854198,4.073029403
12,6,5.045097,4.970039,,5.768295268,7.346598365,,4.282054487,4.384797875
15,7.5,7.643346,7.567763,,,,,4.439254777,4.696566348
,,,,,,,,4.596455066,5.00833482
,,,,,,,,4.746496686,5.317269034
,,,,,,,,4.896531705,5.631871766
,,,,,,,,5.053731995,5.943640238
,,,,,,,,5.210932284,6.255408711
,,,,,,,,5.368132574,6.567177183
,,,,,,,,5.518187396,6.864774362
,,,,,,,,5.668283152,7.127219368
,,,,,,,,5.818285488,7.469888624
,,,,,,,,5.968318857,7.785908485
,,,,,,,,6.104084806,8.053391663
