fn1y,un1_ry,un1y,,fn2y,un2_ry,un2y,,un1c,fn1c,un2c,fn2c
,,,,2.596137504,2.25E+01,2.45E+01,,,,,
,,,,2.290730188,2.05E+01,2.25E+01,,,,,
,,,,1.993381218,1.85E+01,2.05E+01,,,,,
,,,,1.706052484,1.64E+01,1.84E+01,,,,,
,,,,1.430735437,1.44E+01,1.64E+01,,,,,
,,,,1.169483222,1.23E+01,1.43E+01,,,,,
,,,,0.924463686,1.02E+01,1.22E+01,,,,,
,,,,0.698048301,8.07E+00,1.01E+01,,,,,
,,,,0.492969102,5.96E+00,7.96E+00,,,,,
,,,,0.312621667,3.84E+00,5.84E+00,,,,,
,,,,0.161746008,1.72E+00,3.72E+00,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
